	Away|YellowCards=2
	Away|RedCards=0
Premier League;2018-08-18 13:30:00Z;Cardiff;Newcastle
	Home|Possession=51
	Home|ShotsOnTarget=1
	Home|ShotsWide=7
	Home|BlockedShots=4
	Home|CounterAttacks=0
	Home|Corners=5
	Home|Crosses=22
	Home|ThrowIns=25
	Home|Fouls=14
	Home|Offsides=2
	Home|YellowCards=3
	Home|RedCards=0
	Away|Possession=49
	Away|ShotsOnTarget=6
	Away|ShotsWide=1
	Away|BlockedShots=3
	Away|CounterAttacks=0
	Away|Corners=5
	Away|Crosses=17
	Away|ThrowIns=19
	Away|Fouls=16
	Away|Offsides=0
	Away|YellowCards=2
	Away|RedCards=1
Premier League;2018-08-18 16:00:00Z;Everton;Southampton
	Home|Possession=58
	Home|ShotsOnTarget=7
	Home|ShotsWide=1
	Home|BlockedShots=4
	Home|CounterAttacks=0
	Home|Corners=2
	Home|Crosses=16
	Home|ThrowIns=15
	Home|Fouls=8
	Home|Offsides=2
	Home|YellowCards=0
	Home|RedCards=0
	Away|Possession=42
	Away|ShotsOnTarget=6
	Away|ShotsWide=6
	Away|BlockedShots=2
	Away|CounterAttacks=1
	Away|Corners=5
	Away|Crosses=18
	Away|ThrowIns=23
	Away|Fouls=20
	Away|Offsides=2
	Away|YellowCards=5
	Away|RedCards=0
Premier League;2018-08-18 16:00:00Z;Leicester;Wolverhampton
	Home|Possession=43
	Home|ShotsOnTarget=2
	Home|ShotsWide=2
	Home|BlockedShots=2
	Home|CounterAttacks=0
	Home|Corners=1
	Home|Crosses=17
	Home|ThrowIns=14
	Home|Fouls=10
	Home|Offsides=0
	Home|YellowCards=2
	Home|RedCards=1
	Away|Possession=57
	Away|ShotsOnTarget=3
	Away|ShotsWide=8
	Away|BlockedShots=1
	Away|CounterAttacks=1
	Away|Corners=9
	Away|Crosses=33
	Away|ThrowIns=22
	Away|Fouls=8
	Away|Offsides=1
	Away|YellowCards=1
	Away|RedCards=0
Premier League;2018-08-18 16:00:00Z;Tottenham;Fulham
	Home|Possession=64
	Home|ShotsOnTarget=13
	Home|ShotsWide=9
	Home|BlockedShots=5
	Home|CounterAttacks=3
	Home|Corners=5
	Home|Crosses=38
	Home|ThrowIns=22
	Home|Fouls=9
	Home|Offsides=1
	Home|YellowCards=0
	Home|RedCards=0
	Away|Possession=36
	Away|ShotsOnTarget=3
	Away|ShotsWide=7
	Away|BlockedShots=0
	Away|CounterAttacks=0
	Away|Corners=2
	Away|Crosses=6
	Away|ThrowIns=14
	Away|Fouls=5
	Away|Offsides=3
	Away|YellowCards=0
	Away|RedCards=0
Premier League;2018-08-18 16:00:00Z;West Ham;Bournemouth
	Home|Possession=57
	Home|ShotsOnTarget=5
	Home|ShotsWide=4
	Home|BlockedShots=2
	Home|CounterAttacks=1
	Home|Corners=6
	Home|Crosses=24
	Home|ThrowIns=19
	Home|Fouls=14
	Home|Offsides=1
	Home|YellowCards=6
	Home|RedCards=0
	Away|Possession=43
	Away|ShotsOnTarget=6
	Away|ShotsWide=4
	Away|BlockedShots=2
	Away|CounterAttacks=5
	Away|Corners=4
	Away|Crosses=12
	Away|ThrowIns=17
	Away|Fouls=10
	Away|Offsides=0
	Away|YellowCards=2
	Away|RedCards=0
Premier League;2018-08-18 18:30:00Z;Chelsea;Arsenal
	Home|Possession=58
	Home|ShotsOnTarget=11
	Home|ShotsWide=6
	Home|BlockedShots=5
	Home|CounterAttacks=2
	Home|Corners=5
	Home|Crosses=18
	Home|ThrowIns=21
	Home|Fouls=12
	Home|Offsides=3
	Home|YellowCards=0
	Home|RedCards=0
	Away|Possession=42
	Away|ShotsOnTarget=6
	Away|ShotsWide=6
	Away|BlockedShots=4
	Away|CounterAttacks=1
	Away|Corners=1
	Away|Crosses=13
	Away|ThrowIns=13
	Away|Fouls=9
	Away|Offsides=3
	Away|YellowCards=2
	Away|RedCards=0
Premier League;2018-08-19 14:30:00Z;Burnley;Watford
	Home|Possession=58
	Home|ShotsOnTarget=3
	Home|ShotsWide=4
	Home|BlockedShots=1
	Home|CounterAttacks=1
	Home|Corners=5
	Home|Crosses=33
	Home|ThrowIns=22
	Home|Fouls=8
	Home|Offsides=2
	Home|YellowCards=1
	Home|RedCards=0
	Away|Possession=42
	Away|ShotsOnTarget=6
	Away|ShotsWide=1
	Away|BlockedShots=3
	Away|CounterAttacks=0
	Away|Corners=2
	Away|Crosses=10
	Away|ThrowIns=26
	Away|Fouls=19
	Away|Offsides=4
	Away|YellowCards=2
	Away|RedCards=0
Premier League;2018-08-19 14:30:00Z;Manchester City;Huddersfield
	Home|Possession=67
	Home|ShotsOnTarget=15
	Home|ShotsWide=11
	Home|BlockedShots=9
	Home|CounterAttacks=1
	Home|Corners=10
	Home|Crosses=30
	Home|ThrowIns=14
	Home|Fouls=10
	Home|Offsides=1
	Home|YellowCards=0
	Home|RedCards=0
	Away|Possession=33
	Away|ShotsOnTarget=1
	Away|ShotsWide=5
	Away|BlockedShots=0
	Away|CounterAttacks=0
	Away|Corners=3
	Away|Crosses=10
	Away|ThrowIns=10
	Away|Fouls=4
	Away|Offsides=1
	Away|YellowCards=2
	Away|RedCards=0
Premier League;2018-08-19 17:00:00Z;Brighton;Manchester United
	Home|Possession=33
	Home|ShotsOnTarget=3
	Home|ShotsWide=2
	Home|BlockedShots=0
	Home|CounterAttacks=2
	Home|Corners=3
	Home|Crosses=20
	Home|ThrowIns=23
